,Name,Symbol
110,AcelRx Pharmaceuticals Inc. Common Stock,ACRX
111,Acasti Pharma Inc. Class A Common Stock,ACST
112,Enact Holdings Inc. Common Stock,ACT
113,Acacia Research Corporation (Acacia Tech) Common Stock,ACTG
114,Acme United Corporation. Common Stock,ACU
115,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,ACV
116,ACV Auctions Inc. Class A Common Stock,ACVA
117,Acurx Pharmaceuticals Inc. Common Stock,ACXP
118,Adagene Inc. American Depositary Shares,ADAG
119,Anthemis Digital Acquisitions I Corp Class A Ordinary Shares,ADAL
120,Anthemis Digital Acquisitions I Corp Unit,ADALU
121,Anthemis Digital Acquisitions I Corp Warrant,ADALW
122,Adaptimmune Therapeutics plc American Depositary Shares,ADAP
123,Adobe Inc. Common Stock,ADBE
124,Agree Realty Corporation Common Stock,ADC
125,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,ADC^A
126,ADC Therapeutics SA Common Shares,ADCT
127,26 Capital Acquisition Corp. Class A Common Stock,ADER
128,26 Capital Acquisition Corp. Unit,ADERU
129,26 Capital Acquisition Corp. Warrant,ADERW
130,Advanced Emissions Solutions Inc. Common Stock,ADES
131,Adit EdTech Acquisition Corp. Common Stock,ADEX
132,Adagio Therapeutics Inc. Common Stock,ADGI
133,Analog Devices Inc. Common Stock,ADI
134,Adial Pharmaceuticals Inc Common Stock,ADIL
135,Adial Pharmaceuticals Inc Warrant,ADILW
136,Archer-Daniels-Midland Company Common Stock,ADM
137,ADMA Biologics Inc Common Stock,ADMA
138,Adamis Pharmaceuticals Corporation Common Stock,ADMP
139,Advent Technologies Holdings Inc. Class A Common Stock,ADN
140,Adient plc Ordinary Shares ,ADNT
141,Advent Technologies Holdings Inc. Warrant,ADNWW
142,Edoc Acquisition Corp. Class A Ordinary Share,ADOC
143,Automatic Data Processing Inc. Common Stock,ADP
144,Adaptive Biotechnologies Corporation Common Stock,ADPT
145,Adara Acquisition Corp. Class A Common Stock,ADRA
146,Ault Disruptive Technologies Corporation Common Stock,ADRT
147,ADS-TEC ENERGY PLC Ordinary Shares,ADSE
148,ADS-TEC ENERGY PLC Warrant,ADSEW
149,Autodesk Inc. Common Stock,ADSK
150,ADT Inc. Common Stock,ADT
151,AdTheorent Holding Company Inc. Common Stock,ADTH
152,AdTheorent Holding Company Inc. Warrants,ADTHW
153,ADTRAN Holdings Inc. Common Stock,ADTN
154,Aditxt Inc. Common Stock,ADTX
155,Addus HomeCare Corporation Common Stock,ADUS
156,Advantage Solutions Inc. Class A Common Stock,ADV
157,Adverum Biotechnologies Inc. Common Stock,ADVM
158,Adams Diversified Equity Fund Inc.,ADX
159,Addex Therapeutics Ltd American Depositary Shares,ADXN
160,Adams Resources & Energy Inc. Common Stock,AE
161,Authentic Equity Acquisition Corp. Class A ordinary share,AEAC
162,Authentic Equity Acquisition Corp. Unit,AEACU
163,Authentic Equity Acquisition Corp. Warrant,AEACW
164,AltEnergy Acquisition Corp. Class A Common Stock,AEAE
165,Ameren Corporation Common Stock,AEE
166,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,AEF
167,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,AEFC
168,AEGON N.V. Common Stock,AEG
169,Aesther Healthcare Acquisition Corp Class A Common Stock,AEHA
170,Aesther Healthcare Acquisition Corp Units,AEHAU
171,Aesther Healthcare Acquisition Corp Warrants,AEHAW
172,Antelope Enterprise Holdings Limited Common Stock (0.024 par),AEHL
173,Aehr Test Systems Common Stock,AEHR
174,Alset EHome International Inc. Common Stock,AEI
175,Advanced Energy Industries Inc. Common Stock,AEIS
176,American Equity Investment Life Holding Company Common Stock,AEL
177,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,AEL^A
178,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,AEL^B
179,Agnico Eagle Mines Limited Common Stock,AEM
180,Aethlon Medical Inc. Common Stock,AEMD
181,Aenza S.A.A. American Depositary Shares,AENZ
182,American Eagle Outfitters Inc. Common Stock,AEO
183,American Electric Power Company Inc. Common Stock,AEP
184,American Electric Power Company Inc. Corporate Units,AEPPZ
185,AerCap Holdings N.V. Ordinary Shares,AER
186,AeroClean Technologies Inc. Common Stock,AERC
187,Aerie Pharmaceuticals Inc. Common Stock,AERI
188,The AES Corporation Common Stock,AES
189,The AES Corporation Corporate Units,AESC
190,Allied Esports Entertainment Inc. Common Stock,AESE
191,Aeva Technologies Inc. Common Stock,AEVA
192,ADDvantage Technologies Group Inc. Common Stock,AEY
193,AudioEye Inc. Common Stock,AEYE
194,Aeterna Zentaris Inc. Common Stock,AEZS
195,Arena Fortify Acquisition Corp. Warrant,AFACW
196,AF Acquisition Corp. Class A Common Stock,AFAQ
197,AF Acquisition Corp. Warrants,AFAQW
198,Aura FAT Projects Acquisition Corp Class A Ordinary Shares,AFAR
199,Aura FAT Projects Acquisition Corp Unit,AFARU
200,Aura FAT Projects Acquisition Corp Warrant,AFARW
201,AllianceBernstein National Municipal Income Fund Inc,AFB
202,Affinity Bancshares Inc. Common Stock (MD),AFBI
203,AFC Gamma Inc. Common Stock,AFCG
204,American Financial Group Inc. Common Stock,AFG
