,Name,Symbol
2248,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,DSL
2249,BNY Mellon Strategic Municipal Bond Fund Inc. Common Stock,DSM
2250,Viant Technology Inc. Class A Common Stock,DSP
2251,DSS Inc. Common Stock,DSS
2252,Blackrock Debt Strategies Fund Inc. Common Stock,DSU
2253,Deswell Industries Inc. Common Shares,DSWL
2254,Diana Shipping inc. common stock,DSX
2255,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands),DSX^B
2256,Dynatrace Inc. Common Stock,DT
2257,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,DTB
2258,Solo Brands Inc. Class A Common Stock,DTC
2259,DTE Energy Company Common Stock,DTE
2260,DAVIDsTEA Inc. Common Stock,DTEA
2261,DTF Tax-Free Income 2028 Term Fund Inc. Common Stock,DTF
2262,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,DTG
2263,Precision BioSciences Inc. Common Stock,DTIL
2264,Brookfield DTLA Inc. 7.625% Series A Cumulative Redeemable Preferred Stock,DTLA^
2265,DT Midstream Inc. Common Stock ,DTM
2266,Digital Transformation Opportunities Corp. Class A Common Stock,DTOC
2267,Digital Transformation Opportunities Corp. Units,DTOCU
2268,Digital Transformation Opportunities Corp. Warrant,DTOCW
2269,DTE Energy Company 6.25% Corporate Units,DTP
2270,DTRT Health Acquisition Corp. Class A Common Stock,DTRT
2271,Datasea Inc. Common Stock,DTSS
2272,Data Storage Corporation Common Stock,DTST
2273,Data Storage Corporation Warrant,DTSTW
2274,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,DTW
2275,DUET Acquisition Corp. Class A Common Stock,DUET
2276,DUET Acquisition Corp. Unit,DUETU
2277,Duke Energy Corporation (Holding Company) Common Stock,DUK
2278,Duke Energy Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.75% Series A Cumulative Redeemable Perpetual Preferred Stock,DUK^A
2279,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,DUKB
2280,Dune Acquisition Corporation Class A Common Stock,DUNE
2281,Dune Acquisition Corporation Unit,DUNEU
2282,Dune Acquisition Corporation Warrant,DUNEW
2283,Fangdd Network Group Ltd. American Depositary Shares,DUO
2284,Duolingo Inc. Class A Common Stock,DUOL
2285,Duos Technologies Group Inc. Common Stock,DUOT
2286,DoubleVerify Holdings Inc. Common Stock,DV
2287,DaVita Inc. Common Stock,DVA
2288,Dynavax Technologies Corporation Common Stock,DVAX
2289,Devon Energy Corporation Common Stock,DVN
2290,Digital World Acquisition Corp. Class A Common Stock,DWAC
2291,Digital World Acquisition Corp. Units,DWACU
2292,Digital World Acquisition Corp. Warrants,DWACW
2293,Delwinds Insurance Acquisition Corp. Class A Common Stock,DWIN
2294,Dawson Geophysical Company Common Stock,DWSN
2295,Dynex Capital Inc. Common Stock,DX
2296,Dynex Capital Inc. 6.900% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,DX^C
2297,DXC Technology Company Common Stock ,DXC
2298,DexCom Inc. Common Stock,DXCM
2299,Dunxin Financial Holdings Limited American Depositary Shares,DXF
2300,Destination XL Group Inc. Common Stock,DXLG
2301,DXP Enterprises Inc. Common Stock,DXPE
2302,Daxor Corporation Common Stock,DXR
2303,Dixie Group Inc. (The) Common Stock,DXYN
2304,Dycom Industries Inc. Common Stock,DY
2305,Dyadic International Inc. Common Stock,DYAI
2306,Dyne Therapeutics Inc. Common Stock,DYN
2307,Dynatronics Corporation Common Stock,DYNT
2308,DZS Inc. Common Stock,DZSI
2309,ENI S.p.A. Common Stock,E
2310,Electronic Arts Inc. Common Stock,EA
2311,Edify Acquisition Corp. Class A Common Stock,EAC
2312,Allspring Income Opportunities Fund Common Shares,EAD
2313,GrafTech International Ltd. Common Stock,EAF
2314,Entergy Arkansas LLC First Mortgage Bonds 4.875% Series Due September 1 2066,EAI
2315,Eargo Inc. Common Stock,EAR
2316,Ellington Residential Mortgage REIT Common Shares of Beneficial Interest,EARN
2317,Eastside Distilling Inc. Common Stock,EAST
2318,Brinker International Inc. Common Stock,EAT
2319,Eventbrite Inc. Class A Common Stock,EB
2320,European Biotech Acquisition Corp. Class A Ordinary Shares,EBAC
2321,European Biotech Acquisition Corp. Units,EBACU
2322,European Biotech Acquisition Corp. Warrant,EBACW
2323,eBay Inc. Common Stock,EBAY
2324,Eastern Bankshares Inc. Common Stock,EBC
2325,EBET INC. Common Stock,EBET
2326,Ennis Inc. Common Stock,EBF
2327,Ebix Inc. Common Stock,EBIX
2328,Eagle Bancorp Montana Inc. Common Stock,EBMT
2329,Ebang International Holdings Inc. Class A Ordinary Shares,EBON
2330,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),EBR
2331,Emergent Biosolutions Inc. Common Stock,EBS
2332,Enterprise Bancorp Inc Common Stock,EBTC
2333,Ecopetrol S.A. American Depositary Shares,EC
2334,BlackRock ESG Capital Allocation Trust Common Shares of Beneficial Interest,ECAT
2335,ECB Bancorp Inc. Common Stock,ECBK
2336,Eagle Point Credit Company Inc. Common Stock,ECC           
2337,Eagle Point Credit Company Inc. 6.75% Series D Preferred Stock,ECC^D
2338,Eagle Point Credit Company Inc. 6.50% Series C Term Preferred Stock due 2031,ECCC
2339,Eagle Point Credit Company Inc. 5.375% Notes due 2029,ECCV
2340,Eagle Point Credit Company Inc. 6.75% Notes due 2031,ECCW
2341,Eagle Point Credit Company Inc. 6.6875% Notes due 2028,ECCX
2342,Ellsworth Growth and Income Fund Ltd.,ECF
2343,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),ECF^A
2344,Ecolab Inc. Common Stock,ECL
2345,ChannelAdvisor Corporation Common Stock,ECOM          
2346,electroCore Inc. Common Stock,ECOR
2347,Encore Capital Group Inc Common Stock,ECPG
2348,Ecovyst Inc. Common Stock,ECVT
2349,Consolidated Edison Inc. Common Stock,ED
2350,EDAP TMS S.A. American Depositary Shares,EDAP
2351,Edible Garden AG Incorporated Common Stock,EDBL
2352,Edible Garden AG Incorporated Warrant,EDBLW
2353,Morgan Stanley Emerging Markets Domestic Debt Fund Inc. Morgan Stanley Emerging Markets Domestic Debt Fund Inc. Common Stock,EDD
2354,Virtus Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest,EDF
2355,Virtus Stone Harbor Emerging Markets Total Income Fund Common Shares of Beneficial Interest,EDI
2356,Editas Medicine Inc. Common Stock,EDIT
2357,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,EDN
2358,Endurance Acquisition Corp. Class A Ordinary Shares,EDNC
2359,Endurance Acquisition Corp. Unit,EDNCU
2360,Endurance Acquisition Corp. Warrant,EDNCW
2361,Endeavor Group Holdings Inc. Class A Common Stock,EDR
2362,EuroDry Ltd. Common Shares ,EDRY
2363,Edesa Biotech Inc. Common Shares,EDSA
2364,Skillful Craftsman Education Technology Limited Ordinary Share,EDTK
2365,EdtechX Holdings Acquisition Corp. II Class A common stock,EDTX
2366,EdtechX Holdings Acquisition Corp. II Warrant,EDTXW
2367,New Oriental Education & Technology Group Inc. Sponsored ADR representing 10 Ordinary Share (Cayman Islands),EDU
2368,Educational Development Corporation Common Stock,EDUC
2369,Excelerate Energy Inc. Class A Common Stock,EE
2370,The European Equity Fund Inc. Common Stock,EEA
2371,Euronet Worldwide Inc. Common Stock,EEFT
2372,EpicQuest Education Group International Limited Common Stock,EEIQ
2373,Emerald Holding Inc. Common Stock,EEX
2374,Ellington Financial Inc. Common Stock ,EFC
2375,Ellington Financial Inc. 6.750% Series A Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,EFC^A
2376,Ellington Financial Inc. 6.250% Series B Fixed-Rate Reset Cumulative Redeemable Preferred Stock,EFC^B
2377,Eaton Vance Floating-Rate 2022 Target Term Trust Common Shares of Beneficial Interest,EFL
2378,Energy Focus Inc. Common Stock,EFOI
2379,Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest,EFR
2380,Enterprise Financial Services Corporation Common Stock,EFSC
2381,Enterprise Financial Services Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 5% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A,EFSCP
2382,1847 Holdings LLC Common Shares,EFSH
2383,Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,EFT
2384,eFFECTOR Therapeutics Inc. Common Stock,EFTR
2385,eFFECTOR Therapeutics Inc. Warrant,EFTRW
2386,Equifax Inc. Common Stock,EFX
2387,eGain Corporation Common Stock,EGAN
2388,Eagle Bancorp Inc. Common Stock,EGBN
2389,Blackrock Enhanced Government Fund Inc. Common Stock,EGF
2390,EG Acquisition Corp. Class A Common Stock,EGGF
2391,8x8 Inc Common Stock,EGHT
2392,Edgio Inc. Common Stock,EGIO
2393,Eagle Bulk Shipping Inc. Common Stock,EGLE
2394,Enthusiast Gaming Holdings Inc. Common Stock,EGLX
2395,Eldorado Gold Corporation Ordinary Shares,EGO
2396,EastGroup Properties Inc. Common Stock,EGP
2397,Eagle Pharmaceuticals Inc. Common Stock,EGRX
2398,VAALCO Energy Inc.  Common Stock,EGY
2399,EHang Holdings Limited ADS,EH
2400,Enhabit Inc. Common Stock,EHAB
2401,Encompass Health Corporation Common Stock,EHC
2402,Western Asset Global High Income Fund Inc Common Stock,EHI
2403,eHealth Inc. Common Stock,EHTH
2404,Eagle Point Income Company Inc. Common Stock,EIC
2405,Eagle Point Income Company Inc. 5.00% Series A Term Preferred Stock due 2026,EICA
2406,Employers Holdings Inc Common Stock,EIG
2407,Eiger BioPharmaceuticals Inc. Common Stock,EIGR
2408,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,EIM
2409,Edison International Common Stock,EIX
2410,E-Home Household Service Holdings Limited Ordinary Shares,EJH
2411,Ekso Bionics Holdings Inc. Common Stock,EKSO
2412,Estee Lauder Companies Inc. (The) Common Stock,EL
2413,Envela Corporation Common Stock,ELA
2414,Elanco Animal Health Incorporated Common Stock,ELAN
2415,Elanco Animal Health Incorporated 5.00% Tangible Equity Units,ELAT
2416,Electra Battery Materials Corporation Common Stock,ELBM
2417,Entergy Louisiana Inc. Collateral Trust Mortgage Bonds 4.875 % Series due September 1 2066,ELC
2418,Eledon Pharmaceuticals Inc. Common Stock,ELDN
2419,Elevation Oncology Inc. Common stock,ELEV
2420,e.l.f. Beauty Inc. Common Stock,ELF
2421,Electromed Inc. Common Stock,ELMD
2422,Eloxx Pharmaceuticals Inc. Common Stock,ELOX
2423,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares),ELP
2424,Equity Lifestyle Properties Inc. Common Stock,ELS
2425,Electro-Sensors Inc. Common Stock,ELSE
2426,Eltek Ltd. Ordinary Shares,ELTK
2427,Elevance Health Inc. Common Stock,ELV
2428,Elevate Credit Inc. Common Stock,ELVT
2429,Callaway Golf Company Common Stock,ELY
2430,Eliem Therapeutics Inc Common Stock,ELYM
2431,Elys Game Technology Corp. Common Stock,ELYS
2432,Smart Share Global Limited American Depositary Shares,EM
2433,eMagin Corporation Common Stock,EMAN
2434,Embecta Corp. Common Stock,EMBC
2435,Embark Technology Inc. Common Stock,EMBK
2436,Embark Technology Inc. Warrants,EMBKW
2437,Emclaire Financial Corp Common Stock,EMCF
2438,Western Asset Emerging Markets Debt Fund Inc Common Stock,EMD
2439,EMCOR Group Inc. Common Stock,EME
2440,Templeton Emerging Markets Fund Common Stock,EMF
2441,EMCORE Corporation Common Stock,EMKR
2442,Eastern Company (The) Common Stock,EML
2443,FTAC Emerald Acquisition Corp. Class A Common Stock,EMLD
2444,FTAC Emerald Acquisition Corp. Unit,EMLDU
2445,FTAC Emerald Acquisition Corp. Warrant,EMLDW
2446,Eastman Chemical Company Common Stock,EMN
2447,ClearBridge Energy Midstream Opportunity Fund Inc. Common Stock,EMO
2448,Entergy Mississippi LLC First Mortgage Bonds 4.90% Series Due October 1 2066,EMP
2449,Emerson Electric Company Common Stock,EMR
2450,EMX Royalty Corporation Common Shares (Canada),EMX
2451,Enbridge Inc Common Stock,ENB
2452,Enbridge Inc 6.375% Fixed-to-Floating Rate Subordinated Notes Series 2018-B due 2078,ENBA
2453,Energem Corp Class A Ordinary Shares,ENCP
2454,Energem Corp Unit,ENCPU
2455,Energem Corp Warrant,ENCPW
2456,Accretion Acquisition Corp. Common Stock,ENER
2457,Accretion Acquisition Corp. Right,ENERR
2458,Accretion Acquisition Corp. Warrant,ENERW
2459,Enfusion Inc. Class A Common Stock,ENFN
2460,ENGlobal Corporation Common Stock,ENG
2461,Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock),ENIC
2462,Entergy New Orleans LLC First Mortgage Bonds 5.0% Series due December 1 2052,ENJ
2463,EnLink Midstream LLC Common Units representing Limited Partner Interests,ENLC
2464,Enlivex Therapeutics Ltd. Ordinary Shares,ENLV
2465,Entergy New Orleans LLC First Mortgage Bonds 5.50% Series due April 1 2066,ENO
2466,Enochian Biosciences Inc. Common Stock,ENOB
2467,Enovis Corporation Common Stock,ENOV
2468,Executive Network Partnering Corporation Class A Common Stock,ENPC
2469,Enphase Energy Inc. Common Stock,ENPH
2470,Energizer Holdings Inc. Common Stock,ENR
2471,EnerSys Common Stock,ENS
2472,Ensysce Biosciences Inc. Common Stock,ENSC
2473,The Ensign Group Inc. Common Stock,ENSG
2474,Enservco Corporation Common Stock,ENSV
2475,Enanta Pharmaceuticals Inc. Common Stock,ENTA
2476,Enterprise 4.0 Technology Acquisition Corp. Class A Ordinary Shares,ENTF
2477,Enterprise 4.0 Technology Acquisition Corp. Unit,ENTFU
2478,Enterprise 4.0 Technology Acquisition Corp. Warrant,ENTFW
2479,Entegris Inc. Common Stock,ENTG
2480,Entera Bio Ltd. Ordinary Shares,ENTX
2481,Entera Bio Ltd. Warrant,ENTXW
2482,Envestnet Inc Common Stock,ENV
2483,Enova International Inc. Common Stock,ENVA
2484,Enveric Biosciences Inc. Common Stock,ENVB
2485,Enovix Corporation Common Stock,ENVX
2486,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,ENX
2487,Enzo Biochem Inc. Common Stock ($0.01 Par Value),ENZ
2488,Elliott Opportunity II Corp. Class A Ordinary Shares,EOCW
2489,Allspring Global Dividend Opportunity Fund Common Shares of Beneficial Interest,EOD
2490,EOG Resources Inc. Common Stock,EOG
2491,Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest,EOI
2492,Evolus Inc. Common Stock,EOLS
2493,Eaton Vance Enhance Equity Income Fund II Common Stock,EOS
2494,Eos Energy Enterprises Inc. Class A Common Stock,EOSE
2495,Eos Energy Enterprises Inc. Warrant,EOSEW
2496,Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST,EOT
2497,Empire Petroleum Corporation Common Stock,EP
2498,El Paso Corporation Preferred Stock,EP^C
2499,Enerpac Tool Group Corp. Common Stock,EPAC
2500,EPAM Systems Inc. Common Stock,EPAM
2501,Edgewell Personal Care Company Common Stock,EPC
2502,Enterprise Products Partners L.P. Common Stock,EPD
2503,Epiphany Technology Acquisition Corp. Class A Common Stock,EPHY
2504,Epiphany Technology Acquisition Corp. Unit,EPHYU
2505,Epiphany Technology Acquisition Corp. Warrant,EPHYW
2506,ESSA Pharma Inc. Common Stock,EPIX
2507,Evolution Petroleum Corporation Inc. Common Stock,EPM
2508,Sunrise New Energy Co. Ltd Ordinary Shares,EPOW
2509,EPR Properties Common Stock,EPR
2510,EPR Properties 5.75% Series C Cumulative Convertible Preferred Shares,EPR^C
2511,EPR Properties Series E Cumulative Conv Pfd Shs Ser E,EPR^E
2512,EPR Properties 5.750% Series G Cumulative Redeemable Preferred Shares,EPR^G
2513,Essential Properties Realty Trust Inc. Common Stock,EPRT
2514,Epsilon Energy Ltd. Common Share,EPSN
2515,Empowerment & Inclusion Capital I Corp. Class A Common Stock,EPWR
2516,Equillium Inc. Common Stock,EQ
2517,Equity Bancshares Inc. Class A Common Stock,EQBK
2518,Equity Commonwealth Common Shares of Beneficial Interest,EQC
2519,Equity Commonwealth 6.50% Pfd Conv Shs Ser D,EQC^D
2520,Equity Distribution Acquisition Corp. Class A Common Stock,EQD
2521,Equitable Holdings Inc. Common Stock,EQH
2522,Equitable Holdings Inc. Depositary Shares,EQH^A
2523,Equitable Holdings Inc. Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series C,EQH^C
2524,EQ Health Acquisition Corp. Class A Common Stock,EQHA
2525,Equinix Inc. Common Stock REIT,EQIX
2526,Equinor ASA,EQNR
2527,EQONEX LIMITED Ordinary Shares,EQOS
2528,Equity Residential Common Shares of Beneficial Interest,EQR
2529,EQRx Inc.  Common Stock,EQRX
2530,EQRx Inc. Warrant,EQRXW
2531,Equus Total Return Inc. Common Stock,EQS
2532,EQT Corporation Common Stock,EQT
2533,Equinox Gold Corp. Common Shares,EQX
2534,Erasca Inc. Common Stock,ERAS
2535,Allspring Multi-Sector Income Fund Common Stock,ERC
2536,East Resources Acquisition Company Class A Common Stock,ERES
2537,East Resources Acquisition Company Unit,ERESU
2538,East Resources Acquisition Company Warrant,ERESW
2539,Enerplus Corporation Common Stock,ERF
2540,Allspring Utilities and High Income Fund Common Shares,ERH
2541,Ericsson American Depositary Shares,ERIC
2542,Erie Indemnity Company Class A Common Stock,ERIE
2543,Energy Recovery Inc. Common Stock,ERII
2544,Embraer S.A. Common Stock,ERJ
2545,Ero Copper Corp. Common Shares,ERO
2546,Erytech Pharma S.A. American Depositary Shares,ERYP
2547,Eversource Energy (D/B/A) Common Stock,ES
2548,ESAB Corporation Common Stock,ESAB
2549,ESGEN Acquisition Corporation Class A Ordinary Shares,ESAC
2550,Escalade Incorporated Common Stock,ESCA
2551,ESCO Technologies Inc. Common Stock,ESE
2552,Euroseas Ltd. Common Stock (Marshall Islands),ESEA
2553,Enstar Group Limited Ordinary Shares,ESGR
2554,Enstar Group Limited Depository Shares 7.00% Perpetual Non-Cumulative Preference Shares Series E,ESGRO
2555,Enstar Group Limited Depositary Shares Each Representing 1/1000th of an interest in Preference Shares,ESGRP
2556,Element Solutions Inc. Common Stock,ESI
2557,Elbit Systems Ltd. Ordinary Shares,ESLT
2558,ESM Acquisition Corporation Class A Ordinary Shares,ESM
2559,EngageSmart Inc. Common Stock,ESMT
2560,Essent Group Ltd. Common Shares,ESNT
2561,Energy Services of America Corporation Common Stock,ESOA
2562,Espey Mfg. & Electronics Corp. Common Stock,ESP
2563,Esperion Therapeutics Inc. Common Stock,ESPR
2564,Esquire Financial Holdings Inc. Common Stock,ESQ
2565,Empire State Realty Trust Inc. Class A Common Stock,ESRT
2566,Essex Property Trust Inc. Common Stock,ESS
2567,ESSA Bancorp Inc. Common Stock,ESSA
2568,East Stone Acquisition Corporation Ordinary Shares,ESSC
2569,East Stone Acquisition Corporation Right,ESSCR
2570,East Stone Acquisition Corporation Warrant,ESSCW
2571,Establishment Labs Holdings Inc. Common Shares,ESTA
2572,Elastic N.V. Ordinary Shares,ESTC
2573,Earthstone Energy Inc. Class A Common Stock,ESTE
2574,Energy Transfer LP Common Units ,ET
2575,Energy Transfer L.P. 7.375% Series C Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Unit,ET^C
2576,Energy Transfer L.P. 7.625% Series D Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Unit,ET^D
2577,Energy Transfer L.P. 7.600% Series E Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Unit,ET^E
2578,E.Merge Technology Acquisition Corp. Class A Common Stock,ETAC
2579,E.Merge Technology Acquisition Corp. Unit,ETACU
2580,E.Merge Technology Acquisition Corp. Warrant,ETACW
2581,Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest,ETB
2582,Ethan Allen Interiors Inc. Common Stock,ETD
2583,Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest,ETG
2584,Entergy Texas Inc 5.375% Series A Preferred Stock Cumulative No Par Value,ETI^
2585,Eaton Vance Risk-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,ETJ
2586,Eaton Corporation PLC Ordinary Shares,ETN
2587,89bio Inc. Common Stock,ETNB
2588,Eaton Vance Tax-Advantage Global Dividend Opp Common Stock,ETO
2589,Eton Pharmaceuticals Inc. Common Stock,ETON
2590,Entergy Corporation Common Stock,ETR
2591,Equitrans Midstream Corporation Common Stock ,ETRN
2592,Etsy Inc. Common Stock,ETSY
2593,Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest,ETV
2594,Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest,ETW
2595,E2open Parent Holdings Inc.Class A Common Stock,ETWO
2596,Eaton Vance Municipal Income 2028 Term Trust Common Shares of Beneficial Interest,ETX           
2597,Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,ETY
2598,Eucrates Biomedical Acquisition Corp. Ordinary Shares,EUCR
2599,Eucrates Biomedical Acquisition Corp. Unit,EUCRU
2600,Euronav NV Ordinary Shares,EURN
2601,Enviva Inc. Common Stock,EVA
2602,Evaxion Biotech A/S American Depositary Share,EVAX
2603,Everbridge Inc. Common Stock,EVBG
2604,Evans Bancorp Inc. Common Stock,EVBN
2605,Entravision Communications Corporation Common Stock,EVC
2606,EverCommerce Inc. Common Stock,EVCM
2607,EVe Mobility Acquisition Corp Class A Ordinary Shares,EVE
2608,EverQuote Inc. Class A Common Stock,EVER
2609,Eve Holding Inc. Common Stock,EVEX
2610,Eaton Vance Senior Income Trust Common Stock,EVF
2611,Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest,EVG
2612,Evogene Ltd Ordinary Shares,EVGN
2613,EVgo Inc. Class A Common Stock,EVGO
2614,EVgo Inc. Warrants,EVGOW
2615,Evergreen Corporation Class A Ordinary Share,EVGR
2616,Evolent Health Inc Class A Common Stock,EVH
2617,EVI Industries Inc.  Common Stock,EVI
2618,Ever-Glory International Group Inc. Common Stock,EVK
2619,Evelo Biosciences Inc. Common Stock,EVLO
2620,Evolv Technologies Holdings Inc. Class A Common Stock,EVLV
2621,Evolv Technologies Holdings Inc. Warrant,EVLVW
2622,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,EVM
2623,Eaton Vance Municipal Income Trust Common Stock,EVN
2624,Evotec SE American Depositary Shares,EVO
2625,Evo Acquisition Corp. Class A Common Stock,EVOJ
2626,Evo Acquisition Corp. Unit,EVOJU
2627,Evoke Pharma Inc. Common Stock,EVOK
2628,EVO Payments Inc. Class A Common Stock,EVOP
2629,Evercore Inc. Class A Common Stock,EVR
2630,Evergy Inc. Common Stock,EVRG
2631,Everi Holdings Inc. Common Stock,EVRI
2632,Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,EVT
2633,Evertec Inc. Common Stock,EVTC
2634,Vertical Aerospace Ltd. Ordinary Shares,EVTL
2635,Envirotech Vehicles Inc. Common Stock,EVTV
2636,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,EVV
2637,Edwards Lifesciences Corporation Common Stock,EW
2638,East West Bancorp Inc. Common Stock,EWBC
2639,European Wax Center Inc. Class A Common Stock,EWCZ
2640,Edgewise Therapeutics Inc. Common Stock,EWTX
2641,Exscientia Plc American Depositary Shares,EXAI
2642,Exact Sciences Corporation Common Stock,EXAS
2643,Exelon Corporation Common Stock,EXC
2644,Eaton Vance Tax-Managed Buy-Write Strategy Fund Common Shares of Beneficial Interest,EXD
2645,Exelixis Inc. Common Stock,EXEL
2646,Expensify Inc. Class A Common Stock,EXFY
2647,Eaton Vance Tax-Managed Global Diversified Equity Income Fund Eaton Vance Tax-Managed Global Diversified Equity Income Fund Common Shares of Beneficial Interest,EXG
2648,Endeavour Silver Corporation Ordinary Shares (Canada),EXK
2649,ExlService Holdings Inc. Common Stock,EXLS
2650,Excellon Resources Inc. Common Shares,EXN
2651,Eagle Materials Inc Common Stock,EXP
2652,Expeditors International of Washington Inc. Common Stock,EXPD
2653,Expedia Group Inc. Common Stock,EXPE
2654,eXp World Holdings Inc. Common Stock,EXPI
2655,Exponent Inc. Common Stock,EXPO
2656,Express Inc. Common Stock,EXPR
2657,Extra Space Storage Inc Common Stock,EXR
2658,Exterran Corporation Common Stock,EXTN
2659,Extreme Networks Inc. Common Stock,EXTR
2660,National Vision Holdings Inc. Common Stock,EYE
2661,Eyenovia Inc. Common Stock,EYEN
2662,EyePoint Pharmaceuticals Inc. Common Stock,EYPT
2663,EzFill Holdings Inc. Common Stock,EZFL
2664,EZGO Technologies Ltd. Ordinary Shares,EZGO
2665,EZCORP Inc. Class A Non Voting Common Stock,EZPW
2666,Ford Motor Company Common Stock,F
2667,Ford Motor Company 6.20% Notes due June 1 2059,F^B
2668,Ford Motor Company 6% Notes due December 1 2059,F^C
2669,Ford Motor Company 6.500% Notes due August 15 2062,F^D
2670,First Advantage Corporation Common Stock,FA
2671,Figure Acquisition Corp. I Class A Common Stock,FACA
2672,Freedom Acquisition I Corp. Class A Ordinary Shares,FACT
2673,First American Corporation (New) Common Stock,FAF
2674,First Trust/abrdn Global Opportunity Income Fund Common Shares of Beneficial Interest,FAM
2675,Farmmi Inc. Ordinary Shares,FAMI
2676,Diamondback Energy Inc. Common Stock,FANG
2677,Fanhua Inc. American Depositary Shares,FANH
2678,Farmer Brothers Company Common Stock,FARM
2679,FARO Technologies Inc. Common Stock,FARO
2680,Fastenal Company Common Stock,FAST
2681,FAT Brands Inc. Class A Common Stock,FAT
2682,FAT Brands Inc. Class B Common Stock,FATBB
2683,FAT Brands Inc. 8.25% Series B Cumulative Preferred Stock,FATBP
2684,FAT Brands Inc. Warrant,FATBW
2685,Fate Therapeutics Inc. Common Stock,FATE
2686,Fathom Digital Manufacturing Corporation Class A Common Stock,FATH
2687,Fat Projects Acquisition Corp Class A Ordinary Share,FATP
2688,Fat Projects Acquisition Corp Warrant,FATPW
2689,abrdn Asia-Pacific Income Fund Inc. Common Stock,FAX
2690,FaZe Holdings Inc. Common Stock,FAZE
2691,FaZe Holdings Inc. Warrant,FAZEW
2692,Flagstar Bancorp Inc. Common Stock,FBC
2693,Fortune Brands Home & Security Inc. Common Stock,FBHS
2694,Fortress Biotech Inc. Common Stock,FBIO
2695,Fortress Biotech Inc. 9.375% Series A Cumulative Redeemable Perpetual Preferred Stock,FBIOP
2696,First Business Financial Services Inc. Common Stock,FBIZ
2697,FB Financial Corporation Common Stock,FBK
2698,First Bancshares Inc.,FBMS
2699,First Bancorp Common Stock,FBNC
2700,First BanCorp. New Common Stock,FBP
2701,Franklin BSP Realty Trust Inc. Common Stock,FBRT
2702,Franklin BSP Realty Trust Inc. 7.50% Series E Cumulative Redeemable Preferred Stock,FBRT^E
2703,Forte Biosciences Inc. Common Stock,FBRX
2704,Franklin Covey Company Common Stock,FC
2705,First Capital Inc. Common Stock,FCAP
2706,Fortress Capital Acquisition Corp. Class A Ordinary Shares,FCAX
2707,First Community Bankshares Inc. (VA) Common Stock,FCBC
2708,First Community Corporation Common Stock,FCCO
2709,FuelCell Energy Inc. Common Stock,FCEL
2710,First Commonwealth Financial Corporation Common Stock,FCF
2711,FirstCash Holdings Inc. Common Stock,FCFS
2712,FTI Consulting Inc. Common Stock,FCN
2713,First Citizens BancShares Inc. Class A Common Stock,FCNCA
